module,agent-name,skill-name,display-name,menu-code,capability,args,description,phase,after,before,required,output-location,outputs,
abm,,auto-bmad-setup,Setup auto-bmad,AS,setup,[--yes],Install or update auto-bmad config and help entries. Collects project preferences and writes config.yaml.,anytime,,,false,{project-root}/_bmad,config.yaml module-help.csv,
abm,,auto-bmad-plan,Plan,AP,run,[epic_id],Run the full BMAD planning pipeline — PRD through epics and stories — for the project.,2-plan-workflows,architecture,,false,{planning_artifacts} {implementation_artifacts},planning docs epics stories sprint-status.yaml,
abm,,auto-bmad-assess,Assess,AAM,run,[epic_id],Assess project complexity and write quick/full mode recommendations per epic to sprint-status.yaml. Run on existing projects without a planning assessment.,anytime,,,false,{implementation_artifacts},sprint-status.yaml (updated with mode recommendations),
abm,,auto-bmad-epic-start,Epic Start,AES,run,[epic_id],Run the TEA test design pipeline before starting an epic. Generates epic-level test architecture.,4-implementation,epics-stories,,false,{implementation_artifacts},epic test design doc,
abm,,auto-bmad-sprint,Sprint Full,ASF,run,[epic_id] [-- seed hint],Run all stories in epic N through the full 11-step pipeline. Requires TEA.,4-implementation,epic-start,,false,{implementation_artifacts} {auto_bmad_artifacts},story files atdd traceability token-reports sprint-status.yaml,
abm,,auto-bmad-sprint-quick,Sprint Quick,ASQ,run,[epic_id] [-- seed hint],Run all stories in epic N through the quick 3-step pipeline. No TEA required.,4-implementation,,,false,{implementation_artifacts} {auto_bmad_artifacts},story files token-reports sprint-status.yaml,
abm,,auto-bmad-story,Story Full,ASR,run,[story_id],Run a single story through the full 11-step pipeline. Requires TEA.,4-implementation,epic-start,,false,{implementation_artifacts} {auto_bmad_artifacts},story file atdd traceability token-report,
abm,,auto-bmad-story-quick,Story Quick,ASK,run,[story_id],Run a single story through the quick 3-step pipeline. No TEA required.,4-implementation,,,false,{implementation_artifacts} {auto_bmad_artifacts},story file token-report,
abm,,auto-bmad-epic-end,Epic End,AEE,run,[epic_id],Run E2E test generation + epic retrospective after all stories are done.,4-implementation,sprint,,false,{implementation_artifacts} {auto_bmad_artifacts},e2e tests retro token-report,
abm,,auto-bmad-change-spec,Change Spec,ACS,run,"[story_id] [change description]",Run a spec-only change pipeline — updates story spec and AC without touching implementation.,anytime,,,false,{implementation_artifacts},updated story file,
abm,,auto-bmad-change-dev,Change Dev,ACD,run,"[story_id] [change description]",Run a dev-only change pipeline — updates implementation to match a spec that has already changed.,anytime,,,false,{implementation_artifacts} {auto_bmad_artifacts},updated implementation token-report,
abm,,auto-gds-sprint,GDS Sprint Full,GDS,run,[epic_id],Run all GDS stories in epic N through the full 11-step pipeline. Requires GDS + TEA.,4-implementation,epic-start,,false,{implementation_artifacts} {auto_bmad_artifacts},story files atdd traceability token-reports sprint-status.yaml,
abm,,auto-gds-sprint-quick,GDS Sprint Quick,GDQ,run,[epic_id],Run all GDS stories in epic N through the quick 3-step pipeline.,4-implementation,,,false,{implementation_artifacts} {auto_bmad_artifacts},story files token-reports sprint-status.yaml,
abm,,auto-gds-story,GDS Story Full,GDR,run,[story_id],Run a single GDS story through the full 11-step pipeline. Requires GDS + TEA.,4-implementation,epic-start,,false,{implementation_artifacts} {auto_bmad_artifacts},story file atdd traceability token-report,
abm,,auto-gds-story-quick,GDS Story Quick,GDK,run,[story_id],Run a single GDS story through the quick 3-step pipeline.,4-implementation,,,false,{implementation_artifacts} {auto_bmad_artifacts},story file token-report,
